time,code_station,libelle_station,tas
2009-01-17,5081000,La Garonne à Couthures,6.179851003041825
2009-01-17,5152000,La Garonne à St-Aignan,5.068266912686567
2009-01-17,6077500,RHONE A BREGNIER-CORDON 3,1.0920902073134329
2009-01-17,6104000,RHONE A ST-VALLIER ,3.419252290131579
2009-01-17,6113500,RHONE A PIERRELATTE ,4.845218671621622
2009-01-18,5081000,La Garonne à Couthures,7.3509825581749055
2009-01-18,5152000,La Garonne à St-Aignan,5.76602597437811
2009-01-18,6077500,RHONE A BREGNIER-CORDON 3,2.4853381681373135
2009-01-18,6104000,RHONE A ST-VALLIER ,4.986361251973684
2009-01-18,6113500,RHONE A PIERRELATTE ,5.506557428378379
2009-01-19,5081000,La Garonne à Couthures,10.544465640684411
2009-01-19,5152000,La Garonne à St-Aignan,7.402350728606965
2009-01-19,6077500,RHONE A BREGNIER-CORDON 3,6.274311130149254
2009-01-19,6104000,RHONE A ST-VALLIER ,8.122365231578948
2009-01-19,6113500,RHONE A PIERRELATTE ,8.630430737837838
2009-01-20,5081000,La Garonne à Couthures,5.218060630038023
2009-01-20,5152000,La Garonne à St-Aignan,4.939056023606965
2009-01-20,6077500,RHONE A BREGNIER-CORDON 3,3.346461961641791
2009-01-20,6104000,RHONE A ST-VALLIER ,5.174953665789474
2009-01-20,6113500,RHONE A PIERRELATTE ,6.937170636036036
2009-01-21,5081000,La Garonne à Couthures,6.233354101520913
2009-01-21,5152000,La Garonne à St-Aignan,3.292905820320896
2009-01-21,6077500,RHONE A BREGNIER-CORDON 3,1.4984179117107461
2009-01-21,6104000,RHONE A ST-VALLIER ,3.449204892105263
2009-01-21,6113500,RHONE A PIERRELATTE ,4.049255507207207
2009-01-22,5081000,La Garonne à Couthures,8.59468201254753
2009-01-22,5152000,La Garonne à St-Aignan,5.671977255261194
2009-01-22,6077500,RHONE A BREGNIER-CORDON 3,0.5745479755671642
2009-01-22,6104000,RHONE A ST-VALLIER ,1.4824809051973684
2009-01-22,6113500,RHONE A PIERRELATTE ,2.6766558126126125
2009-01-23,5081000,La Garonne à Couthures,10.94101983840304
2009-01-23,5152000,La Garonne à St-Aignan,9.97928463681592
2009-01-23,6077500,RHONE A BREGNIER-CORDON 3,5.7318055274626865
2009-01-23,6104000,RHONE A ST-VALLIER ,5.897986778289473
2009-01-23,6113500,RHONE A PIERRELATTE ,6.000999240540541
2009-01-24,5081000,La Garonne à Couthures,7.695815890494297
2009-01-24,5152000,La Garonne à St-Aignan,6.992652550746269
2009-01-24,6077500,RHONE A BREGNIER-CORDON 3,2.7359830540149255
2009-01-24,6104000,RHONE A ST-VALLIER ,4.455714171710526
2009-01-24,6113500,RHONE A PIERRELATTE ,6.517617033783783
2009-01-25,5081000,La Garonne à Couthures,5.649395496577947
2009-01-25,5152000,La Garonne à St-Aignan,5.163079703383085
2009-01-25,6077500,RHONE A BREGNIER-CORDON 3,1.1676166625194029
2009-01-25,6104000,RHONE A ST-VALLIER ,4.015079499342105
2009-01-25,6113500,RHONE A PIERRELATTE ,6.582879424324324
2009-01-26,5081000,La Garonne à Couthures,6.216478930038023
2009-01-26,5152000,La Garonne à St-Aignan,4.7097086035223885
2009-01-26,6077500,RHONE A BREGNIER-CORDON 3,1.412768008277612
2009-01-26,6104000,RHONE A ST-VALLIER ,3.0306713750000003
2009-01-26,6113500,RHONE A PIERRELATTE ,4.160112945945946
2009-01-27,5081000,La Garonne à Couthures,7.467779476425855
2009-01-27,5152000,La Garonne à St-Aignan,6.003453347522388
2009-01-27,6077500,RHONE A BREGNIER-CORDON 3,2.7305720538208953
2009-01-27,6104000,RHONE A ST-VALLIER ,3.9314832289473682
2009-01-27,6113500,RHONE A PIERRELATTE ,6.807717813963964
2009-01-28,5081000,La Garonne à Couthures,3.9117984068441065
2009-01-28,5152000,La Garonne à St-Aignan,3.6554371069328355
2009-01-28,6077500,RHONE A BREGNIER-CORDON 3,0.5577900948
2009-01-28,6104000,RHONE A ST-VALLIER ,3.521943342763158
2009-01-28,6113500,RHONE A PIERRELATTE ,5.761600666216216
2009-01-29,5081000,La Garonne à Couthures,8.631476668060836
2009-01-29,5152000,La Garonne à St-Aignan,7.323541603631841
2009-01-29,6077500,RHONE A BREGNIER-CORDON 3,0.1705220234955224
2009-01-29,6104000,RHONE A ST-VALLIER ,2.024389562631579
2009-01-29,6113500,RHONE A PIERRELATTE ,4.521666664414415
2009-01-30,5081000,La Garonne à Couthures,8.292527933840304
2009-01-30,5152000,La Garonne à St-Aignan,6.67760448159204
2009-01-30,6077500,RHONE A BREGNIER-CORDON 3,0.0422263988880597
2009-01-30,6104000,RHONE A ST-VALLIER ,1.8428101803289472
2009-01-30,6113500,RHONE A PIERRELATTE ,4.806170492792792
2009-01-31,5081000,La Garonne à Couthures,9.420425819011408
2009-01-31,5152000,La Garonne à St-Aignan,7.657153308208955
2009-01-31,6077500,RHONE A BREGNIER-CORDON 3,0.25161888989850745
2009-01-31,6104000,RHONE A ST-VALLIER ,2.6084775427631577
2009-01-31,6113500,RHONE A PIERRELATTE ,4.371141998648649
2009-02-01,5081000,La Garonne à Couthures,9.595781912547528
2009-02-01,5152000,La Garonne à St-Aignan,8.760841037810945
2009-02-01,6077500,RHONE A BREGNIER-CORDON 3,0.19011366914328356
2009-02-01,6104000,RHONE A ST-VALLIER ,4.873124567763158
2009-02-01,6113500,RHONE A PIERRELATTE ,7.406426943693694
2009-02-02,5081000,La Garonne à Couthures,7.459857895057034
2009-02-02,5152000,La Garonne à St-Aignan,7.871455622114428
2009-02-02,6077500,RHONE A BREGNIER-CORDON 3,2.098728100352239
2009-02-02,6104000,RHONE A ST-VALLIER ,6.049678410526315
2009-02-02,6113500,RHONE A PIERRELATTE ,9.18617549864865
2009-02-03,5081000,La Garonne à Couthures,3.692667908745247
2009-02-03,5152000,La Garonne à St-Aignan,4.00196125021393
2009-02-03,6077500,RHONE A BREGNIER-CORDON 3,3.984611857313433
2009-02-03,6104000,RHONE A ST-VALLIER ,5.247021929605263
2009-02-03,6113500,RHONE A PIERRELATTE ,8.715254387837838
2009-02-04,5081000,La Garonne à Couthures,8.509215032319391
2009-02-04,5152000,La Garonne à St-Aignan,6.4226837109452735
2009-02-04,6077500,RHONE A BREGNIER-CORDON 3,4.601848635044776
2009-02-04,6104000,RHONE A ST-VALLIER ,6.632404130263158
2009-02-04,6113500,RHONE A PIERRELATTE ,7.998098573423423
2009-02-05,5081000,La Garonne à Couthures,10.439943015209124
2009-02-05,5152000,La Garonne à St-Aignan,6.719064142288557
2009-02-05,6077500,RHONE A BREGNIER-CORDON 3,4.103791935313433
2009-02-05,6104000,RHONE A ST-VALLIER ,9.635974460526317
2009-02-05,6113500,RHONE A PIERRELATTE ,11.690666002252252
2009-02-06,5081000,La Garonne à Couthures,6.229072954752852
2009-02-06,5152000,La Garonne à St-Aignan,3.986957151562189
2009-02-06,6077500,RHONE A BREGNIER-CORDON 3,3.6944224817928357
2009-02-06,6104000,RHONE A ST-VALLIER ,6.682530065131579
2009-02-06,6113500,RHONE A PIERRELATTE ,11.447350878378378
2009-02-07,5081000,La Garonne à Couthures,6.001806796197719
2009-02-07,5152000,La Garonne à St-Aignan,3.5733805078358207
2009-02-07,6077500,RHONE A BREGNIER-CORDON 3,1.2248966047014924
2009-02-07,6104000,RHONE A ST-VALLIER ,2.554333538157895
2009-02-07,6113500,RHONE A PIERRELATTE ,6.089944240540541
2009-02-08,5081000,La Garonne à Couthures,3.9359769125475284
2009-02-08,5152000,La Garonne à St-Aignan,3.459438644653234
2009-02-08,6077500,RHONE A BREGNIER-CORDON 3,0.21064061560298508
2009-02-08,6104000,RHONE A ST-VALLIER ,1.4688973681578947
2009-02-08,6113500,RHONE A PIERRELATTE ,4.01255468018018
2009-02-09,5081000,La Garonne à Couthures,10.560914600760457
2009-02-09,5152000,La Garonne à St-Aignan,9.261946256044777
2009-02-09,6077500,RHONE A BREGNIER-CORDON 3,2.532825164155224
2009-02-09,6104000,RHONE A ST-VALLIER ,3.0899451381578946
2009-02-09,6113500,RHONE A PIERRELATTE ,5.256765691891891
2009-02-10,5081000,La Garonne à Couthures,8.383146354752853
2009-02-10,5152000,La Garonne à St-Aignan,6.628355183094527
2009-02-10,6077500,RHONE A BREGNIER-CORDON 3,5.878632961253731
2009-02-10,6104000,RHONE A ST-VALLIER ,9.056969884210526
2009-02-10,6113500,RHONE A PIERRELATTE ,9.215312788288287
2009-02-11,5081000,La Garonne à Couthures,5.343735263878328
2009-02-11,5152000,La Garonne à St-Aignan,3.2586872639502484
2009-02-11,6077500,RHONE A BREGNIER-CORDON 3,1.6954838559194032
2009-02-11,6104000,RHONE A ST-VALLIER ,4.000548511184211
2009-02-11,6113500,RHONE A PIERRELATTE ,5.09759617927928
2009-02-12,5081000,La Garonne à Couthures,5.617741461977187
2009-02-12,5152000,La Garonne à St-Aignan,3.933241500572139
2009-02-12,6077500,RHONE A BREGNIER-CORDON 3,-0.16805647613880598
2009-02-12,6104000,RHONE A ST-VALLIER ,1.7994701996710527
2009-02-12,6113500,RHONE A PIERRELATTE ,4.506023929279279
2009-02-13,5081000,La Garonne à Couthures,3.2807814463878326
2009-02-13,5152000,La Garonne à St-Aignan,2.4080168296169155
2009-02-13,6077500,RHONE A BREGNIER-CORDON 3,-1.5073502695238805
2009-02-13,6104000,RHONE A ST-VALLIER ,1.1069554782782893
2009-02-13,6113500,RHONE A PIERRELATTE ,3.85628131036036
2009-02-14,5081000,La Garonne à Couthures,4.412749318631178
2009-02-14,5152000,La Garonne à St-Aignan,4.438342345771145
2009-02-14,6077500,RHONE A BREGNIER-CORDON 3,-2.216947915334328
2009-02-14,6104000,RHONE A ST-VALLIER ,1.1822903309802633
2009-02-14,6113500,RHONE A PIERRELATTE ,3.5981883810810813
2009-02-15,5081000,La Garonne à Couthures,2.642731060456274
2009-02-15,5152000,La Garonne à St-Aignan,1.5796780549726368
2009-02-15,6077500,RHONE A BREGNIER-CORDON 3,-2.1228770698367168
2009-02-15,6104000,RHONE A ST-VALLIER ,-0.10469315947368422
2009-02-15,6113500,RHONE A PIERRELATTE ,2.6335061555855854
2009-02-16,5081000,La Garonne à Couthures,3.2629790178707228
2009-02-16,5152000,La Garonne à St-Aignan,1.6036757280273632
2009-02-16,6077500,RHONE A BREGNIER-CORDON 3,-1.3406724639880596
2009-02-16,6104000,RHONE A ST-VALLIER ,0.7349287366052631
2009-02-16,6113500,RHONE A PIERRELATTE ,2.987625125900901
2009-02-17,5081000,La Garonne à Couthures,4.928752469581749
2009-02-17,5152000,La Garonne à St-Aignan,3.557755882552239
2009-02-17,6077500,RHONE A BREGNIER-CORDON 3,-0.5705127322585074
2009-02-17,6104000,RHONE A ST-VALLIER ,2.8279011388157893
2009-02-17,6113500,RHONE A PIERRELATTE ,5.554610381981982
2009-02-18,5081000,La Garonne à Couthures,7.7204083832699615
2009-02-18,5152000,La Garonne à St-Aignan,6.304768357985075
2009-02-18,6077500,RHONE A BREGNIER-CORDON 3,1.7354304568179102
2009-02-18,6104000,RHONE A ST-VALLIER ,5.217308053289474
2009-02-18,6113500,RHONE A PIERRELATTE ,8.597574876576576
2009-02-19,5081000,La Garonne à Couthures,6.996418299619772
2009-02-19,5152000,La Garonne à St-Aignan,5.0904585834701495
2009-02-19,6077500,RHONE A BREGNIER-CORDON 3,-1.241835865486567
2009-02-19,6104000,RHONE A ST-VALLIER ,0.5129083335625001
2009-02-19,6113500,RHONE A PIERRELATTE ,3.8544969972972973
2009-02-20,5081000,La Garonne à Couthures,5.744218255133079
2009-02-20,5152000,La Garonne à St-Aignan,4.481805903661692
2009-02-20,6077500,RHONE A BREGNIER-CORDON 3,-0.25140790697462684
2009-02-20,6104000,RHONE A ST-VALLIER ,2.2363590455921054
2009-02-20,6113500,RHONE A PIERRELATTE ,5.284408972522523
2009-02-21,5081000,La Garonne à Couthures,6.671651735741445
2009-02-21,5152000,La Garonne à St-Aignan,5.412448328395522
2009-02-21,6077500,RHONE A BREGNIER-CORDON 3,3.036178545644776
2009-02-21,6104000,RHONE A ST-VALLIER ,5.351485006578947
2009-02-21,6113500,RHONE A PIERRELATTE ,7.602308115315315
2009-02-22,5081000,La Garonne à Couthures,5.714091482509506
2009-02-22,5152000,La Garonne à St-Aignan,5.774679995398009
2009-02-22,6077500,RHONE A BREGNIER-CORDON 3,0.4273606940119403
2009-02-22,6104000,RHONE A ST-VALLIER ,4.9675272999999995
2009-02-22,6113500,RHONE A PIERRELATTE ,7.576752126576576
2009-02-23,5081000,La Garonne à Couthures,8.969798963878327
2009-02-23,5152000,La Garonne à St-Aignan,6.909655062686567
2009-02-23,6077500,RHONE A BREGNIER-CORDON 3,3.469724280119403
2009-02-23,6104000,RHONE A ST-VALLIER ,6.152104838157895
2009-02-23,6113500,RHONE A PIERRELATTE ,8.727476656756757
2009-02-24,5081000,La Garonne à Couthures,10.25912719201521
2009-02-24,5152000,La Garonne à St-Aignan,7.993270724950249
2009-02-24,6077500,RHONE A BREGNIER-CORDON 3,3.8544736103044777
2009-02-24,6104000,RHONE A ST-VALLIER ,6.2046585125
2009-02-24,6113500,RHONE A PIERRELATTE ,8.89533803918919
2009-02-25,5081000,La Garonne à Couthures,7.244747604562738
2009-02-25,5152000,La Garonne à St-Aignan,5.896017953514926
2009-02-25,6077500,RHONE A BREGNIER-CORDON 3,2.947658980258639
2009-02-25,6104000,RHONE A ST-VALLIER ,4.637292759868421
2009-02-25,6113500,RHONE A PIERRELATTE ,7.994785603603604
2009-02-26,5081000,La Garonne à Couthures,7.713701012927757
2009-02-26,5152000,La Garonne à St-Aignan,7.381754927860697
2009-02-26,6077500,RHONE A BREGNIER-CORDON 3,3.5996345202985074
2009-02-26,6104000,RHONE A ST-VALLIER ,5.453215140789474
2009-02-26,6113500,RHONE A PIERRELATTE ,7.733161308108109
2009-02-27,5081000,La Garonne à Couthures,7.722541351711027
2009-02-27,5152000,La Garonne à St-Aignan,8.566907115920397
2009-02-27,6077500,RHONE A BREGNIER-CORDON 3,6.7289406773134335
2009-02-27,6104000,RHONE A ST-VALLIER ,7.951633035526316
2009-02-27,6113500,RHONE A PIERRELATTE ,11.190350261261262
2009-02-28,5081000,La Garonne à Couthures,9.625378519011408
2009-02-28,5152000,La Garonne à St-Aignan,8.562015895024874
2009-02-28,6077500,RHONE A BREGNIER-CORDON 3,6.8300996247761185
2009-02-28,6104000,RHONE A ST-VALLIER ,8.059337413157895
2009-02-28,6113500,RHONE A PIERRELATTE ,9.16794179954955
2009-03-01,5081000,La Garonne à Couthures,9.244999508745247
2009-03-01,5152000,La Garonne à St-Aignan,8.813976116666666
2009-03-01,6077500,RHONE A BREGNIER-CORDON 3,7.181758593432836
2009-03-01,6104000,RHONE A ST-VALLIER ,10.388587746710526
2009-03-01,6113500,RHONE A PIERRELATTE ,11.03793829954955
2009-03-02,5081000,La Garonne à Couthures,8.866380923954372
2009-03-02,5152000,La Garonne à St-Aignan,8.796683624179105
2009-03-02,6077500,RHONE A BREGNIER-CORDON 3,6.607703367761194
2009-03-02,6104000,RHONE A ST-VALLIER ,8.366327384868422
2009-03-02,6113500,RHONE A PIERRELATTE ,11.524928058558558
2009-03-03,5081000,La Garonne à Couthures,6.633460685551331
2009-03-03,5152000,La Garonne à St-Aignan,6.054493697263681
2009-03-03,6077500,RHONE A BREGNIER-CORDON 3,6.415349897313432
2009-03-03,6104000,RHONE A ST-VALLIER ,8.399721649342105
2009-03-03,6113500,RHONE A PIERRELATTE ,9.909325808558558
2009-03-04,5081000,La Garonne à Couthures,6.246621368821293
2009-03-04,5152000,La Garonne à St-Aignan,3.807948477324627
2009-03-04,6077500,RHONE A BREGNIER-CORDON 3,3.9611196938340294
2009-03-04,6104000,RHONE A ST-VALLIER ,5.332722315131579
2009-03-04,6113500,RHONE A PIERRELATTE ,5.418778292342342
2009-03-05,5081000,La Garonne à Couthures,5.772332139543726
2009-03-05,5152000,La Garonne à St-Aignan,3.721813602129353
2009-03-05,6077500,RHONE A BREGNIER-CORDON 3,1.7413385652068658
2009-03-05,6104000,RHONE A ST-VALLIER ,3.973381847368421
2009-03-05,6113500,RHONE A PIERRELATTE ,6.035529202252252
2009-03-06,5081000,La Garonne à Couthures,7.1787002653992396
2009-03-06,5152000,La Garonne à St-Aignan,5.412532212959452
2009-03-06,6077500,RHONE A BREGNIER-CORDON 3,1.4372141373701492
2009-03-06,6104000,RHONE A ST-VALLIER ,3.360209815131579
2009-03-06,6113500,RHONE A PIERRELATTE ,6.458705042342342
2009-03-07,5081000,La Garonne à Couthures,7.036626430038023
2009-03-07,5152000,La Garonne à St-Aignan,5.836189684699005
2009-03-07,6077500,RHONE A BREGNIER-CORDON 3,2.6626121434268657
2009-03-07,6104000,RHONE A ST-VALLIER ,5.212067256578948
2009-03-07,6113500,RHONE A PIERRELATTE ,8.282437277027027
2009-03-08,5081000,La Garonne à Couthures,10.56661474904943
2009-03-08,5152000,La Garonne à St-Aignan,8.376159770995026
2009-03-08,6077500,RHONE A BREGNIER-CORDON 3,4.187866940779105
2009-03-08,6104000,RHONE A ST-VALLIER ,7.704525190789474
2009-03-08,6113500,RHONE A PIERRELATTE ,11.348704033783783
2009-03-09,5081000,La Garonne à Couthures,9.192087939163498
2009-03-09,5152000,La Garonne à St-Aignan,8.572043271144278
2009-03-09,6077500,RHONE A BREGNIER-CORDON 3,4.123654400513433
2009-03-09,6104000,RHONE A ST-VALLIER ,8.189775993421053
2009-03-09,6113500,RHONE A PIERRELATTE ,10.15083697027027
2009-03-10,5081000,La Garonne à Couthures,6.8849024338403035
2009-03-10,5152000,La Garonne à St-Aignan,6.982357118805971
2009-03-10,6077500,RHONE A BREGNIER-CORDON 3,3.314531012392239
2009-03-10,6104000,RHONE A ST-VALLIER ,4.768913264473684
2009-03-10,6113500,RHONE A PIERRELATTE ,8.142307041441441
2009-03-11,5081000,La Garonne à Couthures,11.538680952471482
2009-03-11,5152000,La Garonne à St-Aignan,9.582848856741293
2009-03-11,6077500,RHONE A BREGNIER-CORDON 3,6.246827997907463
2009-03-11,6104000,RHONE A ST-VALLIER ,8.098644246710526
2009-03-11,6113500,RHONE A PIERRELATTE ,9.61299381936937
2009-03-12,5081000,La Garonne à Couthures,9.683111154372623
2009-03-12,5152000,La Garonne à St-Aignan,9.195359699502488
2009-03-12,6077500,RHONE A BREGNIER-CORDON 3,3.994282190268657
2009-03-12,6104000,RHONE A ST-VALLIER ,6.638732696052632
2009-03-12,6113500,RHONE A PIERRELATTE ,10.288271806306307
2009-03-13,5081000,La Garonne à Couthures,13.040845961977185
2009-03-13,5152000,La Garonne à St-Aignan,12.754090700995024
2009-03-13,6077500,RHONE A BREGNIER-CORDON 3,7.25646508835821
2009-03-13,6104000,RHONE A ST-VALLIER ,9.3348457
2009-03-13,6113500,RHONE A PIERRELATTE ,13.637321538288289
2009-03-14,5081000,La Garonne à Couthures,9.856625167300379
2009-03-14,5152000,La Garonne à St-Aignan,11.475614542288557
2009-03-14,6077500,RHONE A BREGNIER-CORDON 3,8.792014753432836
2009-03-14,6104000,RHONE A ST-VALLIER ,11.333825355263158
2009-03-14,6113500,RHONE A PIERRELATTE ,12.025061376126127
2009-03-15,5081000,La Garonne à Couthures,11.803279138783271
2009-03-15,5152000,La Garonne à St-Aignan,11.589009162189054
2009-03-15,6077500,RHONE A BREGNIER-CORDON 3,10.026272457014924
2009-03-15,6104000,RHONE A ST-VALLIER ,11.793371519736843
2009-03-15,6113500,RHONE A PIERRELATTE ,12.255927301801801
2009-03-16,5081000,La Garonne à Couthures,11.653230395437262
2009-03-16,5152000,La Garonne à St-Aignan,10.150877002238806
2009-03-16,6077500,RHONE A BREGNIER-CORDON 3,8.213159077313433
2009-03-16,6104000,RHONE A ST-VALLIER ,9.748580299342105
2009-03-16,6113500,RHONE A PIERRELATTE ,13.070457389639639
2009-03-17,5081000,La Garonne à Couthures,12.502096779467681
2009-03-17,5152000,La Garonne à St-Aignan,11.056875190049752
2009-03-17,6077500,RHONE A BREGNIER-CORDON 3,7.563618937014926
2009-03-17,6104000,RHONE A ST-VALLIER ,9.475812006578948
2009-03-17,6113500,RHONE A PIERRELATTE ,11.748811056306307
2009-03-18,5081000,La Garonne à Couthures,14.021837243346008
2009-03-18,5152000,La Garonne à St-Aignan,12.483036329850746
2009-03-18,6077500,RHONE A BREGNIER-CORDON 3,9.015566510746268
2009-03-18,6104000,RHONE A ST-VALLIER ,11.327526898026315
2009-03-18,6113500,RHONE A PIERRELATTE ,12.949423155405405
2009-03-19,5081000,La Garonne à Couthures,13.702372615969582
2009-03-19,5152000,La Garonne à St-Aignan,12.640828985323383
2009-03-19,6077500,RHONE A BREGNIER-CORDON 3,7.462082319402985
2009-03-19,6104000,RHONE A ST-VALLIER ,9.815455988157893
2009-03-19,6113500,RHONE A PIERRELATTE ,12.601557157657657
2009-03-20,5081000,La Garonne à Couthures,11.268828043726236
2009-03-20,5152000,La Garonne à St-Aignan,10.065354066666666
2009-03-20,6077500,RHONE A BREGNIER-CORDON 3,3.828345454874627
2009-03-20,6104000,RHONE A ST-VALLIER ,6.744675877631579
2009-03-20,6113500,RHONE A PIERRELATTE ,10.229962745045045
2009-03-21,5081000,La Garonne à Couthures,8.025451195057034
2009-03-21,5152000,La Garonne à St-Aignan,6.8248941660199005
2009-03-21,6077500,RHONE A BREGNIER-CORDON 3,2.7600885671432835
2009-03-21,6104000,RHONE A ST-VALLIER ,4.507133276973684
2009-03-21,6113500,RHONE A PIERRELATTE ,6.650843425675676
2009-03-22,5081000,La Garonne à Couthures,8.649955949049431
2009-03-22,5152000,La Garonne à St-Aignan,7.791282851890548
2009-03-22,6077500,RHONE A BREGNIER-CORDON 3,4.796136559259702
2009-03-22,6104000,RHONE A ST-VALLIER ,7.059489006578948
2009-03-22,6113500,RHONE A PIERRELATTE ,9.469252163063064
2009-03-23,5081000,La Garonne à Couthures,9.675208598859316
2009-03-23,5152000,La Garonne à St-Aignan,8.557467333532339
2009-03-23,6077500,RHONE A BREGNIER-CORDON 3,6.052313508477612
2009-03-23,6104000,RHONE A ST-VALLIER ,9.145797736842106
2009-03-23,6113500,RHONE A PIERRELATTE ,12.260126612612611
2009-03-24,5081000,La Garonne à Couthures,9.615242256653993
